status,url,locale,content_type,category,role,previous_clicks,recent_clicks,click_delta,previous_impressions,recent_impressions,impression_delta,impression_change_rate,lost_impression_share,previous_ctr,recent_ctr,ctr_pp_delta,previous_position,recent_position,position_delta,path_group,inventory_match,sitemap_membership,current_title,current_h1,last_modified,recent_local_change,currently_deployed_change,diagnosis,confidence,recommended_action
MAJOR_IMPRESSION_LOSS,/tools/compound-interest,ko,calculator,tools,PRIMARY_TOOL,0,0,0,139,9,-130,-0.935252,0.321782,0,0,0,12.32,10.44,-1.88,/tools/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,복리 계산기 | 월복리·적립식 투자 미래가치 계산,복리 계산기,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,MAJOR_IMPRESSION_LOSS,MEDIUM_STATIC_INVENTORY_JOIN,URL_INSPECTION_RECHECK
MAJOR_IMPRESSION_LOSS,/tools/cagr-calculator,ko,calculator,tools,PRIMARY_TOOL,0,0,0,47,3,-44,-0.93617,0.108911,0,0,0,8.53,11.33,2.8,/tools/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,CAGR 계산기 (연평균 수익률·연복리 수익률·연평균 성장률),CAGR 계산기 (연평균 수익률·연복리 수익률·연평균 성장률),,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,MAJOR_IMPRESSION_LOSS,MEDIUM_STATIC_INVENTORY_JOIN,URL_INSPECTION_RECHECK
LOW_SAMPLE,/tools/dca-calculator,ko,calculator,tools,PRIMARY_TOOL,0,0,0,18,2,-16,-0.888889,0.039604,0,0,0,8.17,14,5.83,/tools/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,ETF·주식 자동 적립식 시뮬레이터 (DCA),ETF·주식 자동 적립식 시뮬레이터 (DCA),,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
POSITION_DROP,/posts/personalFinance/how-much-per-month-for-100m,ko,post,personalFinance,SUPPORTING_ARTICLE,0,0,0,21,11,-10,-0.47619,0.024752,0,0,0,7.48,18.64,11.16,/posts/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,1억 모으려면 월 얼마? 5년·10년·15년 필요 투자금,1억 모으려면 월 얼마? 5년·10년·15년 필요 투자금,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,POSITION_DROP,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
LOW_SAMPLE,/market/real-estate,ko,real_estate,realEstate,PRIMARY_HUB,0,0,0,12,3,-9,-0.75,0.022277,0,0,0,5.67,14,8.33,/market/real-estate/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,서울·경기·인천 아파트 실거래 대시보드,서울·경기·인천 아파트 실거래 대시보드,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
DISAPPEARED_FROM_REPORT,/en,en,other,,,0,0,0,9,0,-9,-1,0.022277,0,,,1.78,,,other,INVENTORY_SCOPE_GAP,IN_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
LOW_SAMPLE,/sitemap-pages,ko,other,,,0,0,0,11,3,-8,-0.727273,0.019802,0,0,0,5.73,8.67,2.94,other,INVENTORY_SCOPE_GAP,IN_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,LOW_INVENTORY_GAP,NO_CHANGE_OBSERVE
LOW_SAMPLE,/market/real-estate/seoul-top100,ko,real_estate,realEstate,DATA_PAGE,0,0,0,9,1,-8,-0.888889,0.019802,0,0,0,2,1,-1,/market/real-estate/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,서울 아파트 집값 Top 100 | 서울 실거래 순위,서울 아파트 집값 TOP 100,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
LOW_SAMPLE,/market/real-estate/seoul-apartment-top100,ko,real_estate,realEstate,DATA_PAGE,0,0,0,9,2,-7,-0.777778,0.017327,0,0,0,4.22,24,19.78,/market/real-estate/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
DISAPPEARED_FROM_REPORT,/market/real-estate/apt/11440||신정동|서강GS,ko,real_estate,real-estate,,0,0,0,7,0,-7,-1,0.017327,0,,,9.57,,,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
DISAPPEARED_FROM_REPORT,/market/real-estate/apt/11680||삼성동|아이파크,ko,real_estate,real-estate,,0,0,0,7,0,-7,-1,0.017327,0,,,10.57,,,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
LOW_SAMPLE,/tools/goal-simulator,ko,calculator,tools,PRIMARY_TOOL,1,0,-1,16,10,-6,-0.375,0.014851,0.0625,0,-0.0625,7,11.4,4.4,/tools/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,목표자산 도달 계산기 | 매달 얼마 투자해야 할까?,목표자산 도달 계산기 | 매달 얼마 투자해야 할까?,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
LOW_SAMPLE,/posts/personalFinance/compound-return-3-5-7-10-table,ko,post,personalFinance,SUPPORTING_ARTICLE,0,0,0,9,3,-6,-0.666667,0.014851,0,0,0,7.89,35,27.11,/posts/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,연 3% 5% 7% 10% 복리 결과 비교표 | 10년 20년 30년,연 3% 5% 7% 10% 복리 결과 비교표 | 10년 20년 30년,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
LOW_SAMPLE,/market/real-estate/incheon-apartment-top100,ko,real_estate,realEstate,DATA_PAGE,0,0,0,8,2,-6,-0.75,0.014851,0,0,0,4.25,25,20.75,/market/real-estate/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
LOW_SAMPLE,/market/real-estate/gyeonggi-apartment-top100,ko,real_estate,realEstate,DATA_PAGE,0,0,0,8,2,-6,-0.75,0.014851,0,0,0,5.12,26,20.88,/market/real-estate/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
LOW_SAMPLE,/tools/fire-calculator,ko,calculator,tools,PRIMARY_TOOL,0,0,0,8,2,-6,-0.75,0.014851,0,0,0,20.25,15,-5.25,/tools/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
DISAPPEARED_FROM_REPORT,/market/real-estate/apt/11200||마장동|현대,ko,real_estate,real-estate,,0,0,0,6,0,-6,-1,0.014851,0,,,6.33,,,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
DISAPPEARED_FROM_REPORT,/market/real-estate/apt/11500||마곡동|길훈,ko,real_estate,real-estate,,0,0,0,6,0,-6,-1,0.014851,0,,,7.33,,,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
DISAPPEARED_FROM_REPORT,/market/real-estate/apt/11440||창전동|창전래미안,ko,real_estate,real-estate,,0,0,0,6,0,-6,-1,0.014851,0,,,8.33,,,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
DISAPPEARED_FROM_REPORT,/en/market/real-estate/apt/11710||가락동|대림,en,real_estate,real-estate,,0,0,0,6,0,-6,-1,0.014851,0,,,10.17,,,other,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
DISAPPEARED_FROM_REPORT,/market/real-estate/apt/11650||반포동|래미안원베일리,ko,real_estate,real-estate,,0,0,0,6,0,-6,-1,0.014851,0,,,17.83,,,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
LOW_SAMPLE,/posts/personalFinance/what-is-cagr,ko,post,personalFinance,SUPPORTING_ARTICLE,0,0,0,8,3,-5,-0.625,0.012376,0,0,0,8.38,16,7.62,/posts/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,CAGR 계산법: 단순 수익률과 다른 이유와 투자 예시,CAGR 계산법: 단순 수익률과 다른 이유와 투자 예시,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
LOW_SAMPLE,/posts/investingInfo/tnx-basics,ko,post,investingInfo,SUPPORTING_ARTICLE,0,0,0,7,2,-5,-0.714286,0.012376,0,0,0,4.43,21,16.57,/posts/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,TNX(미국 10년물 국채금리) 완전 이해: 주식·환율·채권을 움직이는 ‘기준 금리’,TNX(미국 10년물 국채금리) 완전 이해: 주식·환율·채권을 움직이는 ‘기준 금리’,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
DISAPPEARED_FROM_REPORT,/market/real-estate/apt/11500||방화동|마곡센트레빌,ko,real_estate,real-estate,,0,0,0,5,0,-5,-1,0.012376,0,,,11.8,,,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
DISAPPEARED_FROM_REPORT,/market/real-estate/apt/11650||방배동|방배신삼호,ko,real_estate,real-estate,,0,0,0,5,0,-5,-1,0.012376,0,,,13.8,,,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
DISAPPEARED_FROM_REPORT,/market/real-estate/apt/11170||이촌동|이촌코오롱(A),ko,real_estate,real-estate,,0,0,0,5,0,-5,-1,0.012376,0,,,14.8,,,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
DISAPPEARED_FROM_REPORT,/market/real-estate/apt/11500||가양동|강서한강자이,ko,real_estate,real-estate,,0,0,0,5,0,-5,-1,0.012376,0,,,15.8,,,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
DISAPPEARED_FROM_REPORT,/market/real-estate/apt/11710||문정동|문정가락현대1차,ko,real_estate,real-estate,,0,0,0,5,0,-5,-1,0.012376,0,,,18.8,,,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,LOW_INVENTORY_GAP,URL_INSPECTION_RECHECK
LOW_SAMPLE,/en/tools,en,tools_hub,tools,EN_MAINTENANCE_ONLY,0,0,0,7,3,-4,-0.571429,0.009901,0,0,0,6,8.33,2.33,other,LOCAL_INVENTORY_MATCH,IN_SITEMAP,Finance Tools,Finance tools,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
LOW_SAMPLE,/posts/personalFinance/monthly-investment-for-100m-table,ko,post,personalFinance,SUPPORTING_ARTICLE,0,0,0,6,2,-4,-0.666667,0.009901,0,0,0,7.33,29,21.67,/posts/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,1억 만들기 월 투자금 표 | 5년 10년 15년 20년 수익률별 계산,1억 만들기 월 투자금 표 | 5년 10년 15년 20년 수익률별 계산,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
LOW_SAMPLE,/market/real-estate/apt/11500||방화동|개화산경남아너스빌,ko,real_estate,real-estate,,0,0,0,5,1,-4,-0.8,0.009901,0,0,0,16.8,46,29.2,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,LOW_INVENTORY_GAP,NO_CHANGE_OBSERVE
LOW_SAMPLE,/market/real-estate/apt/11200||송정동|서울숲아이파크,ko,real_estate,real-estate,,0,0,0,5,1,-4,-0.8,0.009901,0,0,0,17.8,50,32.2,/market/real-estate/,INVENTORY_SCOPE_GAP,NOT_FOUND_IN_LOCAL_SITEMAP,,,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,LOW_INVENTORY_GAP,NO_CHANGE_OBSERVE
DISAPPEARED_FROM_REPORT,/en/posts/investingInfo/etf-impact-of-tnx,en,post,investingInfo,EN_MAINTENANCE_ONLY,0,0,0,4,0,-4,-1,0.009901,0,,,14,,,/en/posts/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,"How TNX Affects ETFs: Growth, Value, Emerging Markets, and Korea","How TNX Affects ETFs: Growth, Value, Emerging Markets, and Korea",,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,DISAPPEARED_FROM_REPORT,MEDIUM_STATIC_INVENTORY_JOIN,URL_INSPECTION_RECHECK
LOW_SAMPLE,/market/indices,ko,market,realEstate,DATA_PAGE,0,0,0,5,2,-3,-0.6,0.007426,0,0,0,7.8,11,3.2,/market/,LOCAL_INVENTORY_MATCH,IN_SITEMAP,시장 데이터를 불러오는 중입니다.,시장 데이터를 불러오는 중입니다.,,NOT_MODIFIED_BY_P1_2B,DEPLOY_DATE_PENDING_OR_UNKNOWN,LOW_SAMPLE,MEDIUM_STATIC_INVENTORY_JOIN,NO_CHANGE_OBSERVE
