cluster,query_count,clicks,impressions,ctr,representative_queries,variants,question_like_queries,amount_term_queries,primary_url_candidates,support_url_candidates,data_confidence
실거래가,13,102,5082,0.0201,마곡 집값 | 강남 집값 순위 | 서울 집값 순위 | 잠실 집값 | 서울 아파트값 순위,마곡 집값 | 강남 집값 순위 | 서울 집값 순위 | 잠실 집값 | 서울 아파트값 순위 | 잠실 집값 순위 | 서울 아파트 집값 순위 | 강남 아파트 순위 | 송파구 집값 순위 | 마곡아파트가격순위,,서울 아파트 순위 100,/market/real-estate/gangnam-top100 | /market/real-estate/gangnam3-top100 | /market/real-estate/magok-top100,/market | /market/real-estate | /market/real-estate/songpa-top100 | /market/real-estate/mayongseong-top100 | /market/real-estate/seoul-top100,LIMITED
CAGR,6,96,17265,0.0056,cagr | 연평균 수익률 계산기 | cagr 계산법 | 연평균 수익률 계산 | dca 복리 시뮬레이터,cagr | 연평균 수익률 계산기 | cagr 계산법 | 연평균 수익률 계산 | dca 복리 시뮬레이터 | cagr 읽는법,연평균 수익률 계산기 | cagr 계산법 | 연평균 수익률 계산,,/tools/cagr-calculator | /en/posts/investingInfo/diagnose-investing-skill-with-cagr | /en/posts/investingInfo/cagr-7percent-reality-check,/en/posts/investingInfo/why-check-cagr-etf | /posts/personalFinance/what-is-cagr | /posts/investingInfo/why-check-cagr-etf | /tools/dca-calculator | /en/posts/investingInfo/dca-consistency-7-fail-patterns,LIMITED
주담대,5,33,2209,0.0149,아파트 구매 계산기 | 주담대 원리금 계산기 | 주담대 dsr 계산기 | 주택담보대출 dsr 계산기 | 아파트 대출금 계산기,아파트 구매 계산기 | 주담대 원리금 계산기 | 주담대 dsr 계산기 | 주택담보대출 dsr 계산기 | 아파트 대출금 계산기,아파트 구매 계산기 | 주담대 원리금 계산기 | 주담대 dsr 계산기 | 주택담보대출 dsr 계산기 | 아파트 대출금 계산기,주택담보대출 dsr 계산기 | 아파트 대출금 계산기,/tools/dsr-ltv-calculator | /tools/home-buying-budget-calculator | /tools/mortgage-loan-calculator,/posts/personalFinance/interest-rate-1p-loan-limit-impact | /posts/personalFinance/ltv-dsr-calculator-guide | /posts/investingInfo/rates-discount-mortgage-demand-apt-prices | /posts/personalFinance/cash-100m-200m-300m-apartment-budget | /posts/personalFinance/apartment-buying-calculator-guide,LIMITED
DSR,2,29,371,0.0782,ltv dsr 계산기 | 연소득 계산기,ltv dsr 계산기 | 연소득 계산기,ltv dsr 계산기 | 연소득 계산기,,/tools/dsr-ltv-calculator | /tools/home-buying-budget-calculator | /posts/personalFinance/cash-100m-200m-300m-apartment-budget,/posts/personalFinance/interest-rate-1p-loan-limit-impact | /posts/personalFinance/ltv-dsr-calculator-guide | /posts/personalFinance/apartment-buying-calculator-guide | /posts/personalFinance/compound-calculator-guide,LIMITED
환율·시장,3,18,788,0.0228,원화약세피해주 | 물가가 오르면 금리 | 환율상승 수혜주,원화약세피해주 | 물가가 오르면 금리 | 환율상승 수혜주,,물가가 오르면 금리,/posts/economicInfo/inflation-rate-basics | /posts/economicInfo/war-theme-investing-price-chain-not-winners | /posts/investingInfo/usd-krw-weak-won-sector-map-kospi,,LIMITED
아파트 구매 가능 금액,1,5,65,0.0769,아파트 구매 대출 계산,아파트 구매 대출 계산,아파트 구매 대출 계산,아파트 구매 대출 계산,/market | /market/real-estate | /market/real-estate/gangnam-top100,/market/real-estate/gangnam3-top100 | /market/real-estate/magok-top100,VERY_LOW
