path,viewport,run,navigation,status,pass,react418,hydrationErrorCount,pageErrorCount,scriptCount,dataNscriptCount,scriptInHeadCount,loaderReady,slotCount,slotPushedCount,slotFailedCount,duplicatePushedCount,firstEntryStatus,bootstrapRequestCount,adRequestCount,failedAdRequestCount,h1Count,inputCount,ctaCount,horizontalOverflow
/tools/compound-interest,320,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,29,0,1,10,7,false
/tools/compound-interest,390,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0,1,10,7,false
/tools/compound-interest,1280,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,4,4,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,74,20,1,10,7,false
/tools/cagr-calculator,320,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0,1,11,9,false
/tools/cagr-calculator,390,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0,1,11,9,false
/tools/cagr-calculator,1280,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,60,10,1,11,9,false
/tools/dsr-ltv-calculator,320,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,10,8,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,77,23,1,10,20,false
/tools/dsr-ltv-calculator,390,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,32,2,1,10,20,false
/tools/dsr-ltv-calculator,1280,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,7,5,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,32,2,1,10,20,false
/tools/home-buying-budget-calculator,320,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,33,2,1,10,15,false
/tools/home-buying-budget-calculator,390,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,10,8,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,85,27,1,10,15,false
/tools/home-buying-budget-calculator,1280,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,57,12,1,10,15,false
/tools/mortgage-loan-calculator,320,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,56,11,1,6,7,false
/tools/mortgage-loan-calculator,390,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,52,11,1,6,7,false
/tools/mortgage-loan-calculator,1280,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,29,1,1,6,7,false
/posts/personalFinance/what-is-cagr,320,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,7,4,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,52,12,1,3,21,false
/posts/personalFinance/what-is-cagr,390,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,9,6,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,99,32,1,3,21,false
/posts/personalFinance/what-is-cagr,1280,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,7,4,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,52,12,1,3,21,false
/en/posts/personalFinance/annual-vs-monthly-compound,320,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,8,5,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,54,13,1,3,14,false
/en/posts/personalFinance/annual-vs-monthly-compound,390,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,7,4,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,32,2,1,3,14,false
/en/posts/personalFinance/annual-vs-monthly-compound,1280,1,first_entry_hard_load,200,true,0,0,0,1,0,1,true,8,5,0,0,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,51,11,1,3,14,false
