calculator,URL,primary query,spacing variant,secondary query,check date,device,signed-in or private mode,observed FinMap rank,observed FinMap URL,another FinMap post ranked,competitor type,notes
compoundInterest,/tools/compound-interest,복리 계산기,복리계산기,월복리 계산기,2026-07-29,mobile,private,,,,,수동 입력 필요
goalSimulator,/tools/goal-simulator,목표 자산 계산기,목표자산 계산기,목표금액 투자 계산기,2026-07-29,mobile,private,,,,,수동 입력 필요
fireCalculator,/tools/fire-calculator,은퇴자금 계산기,은퇴 자금 계산기,파이어 계산기,2026-07-29,mobile,private,,,,,수동 입력 필요
cagrCalculator,/tools/cagr-calculator,CAGR 계산기,CAGR계산기,연평균 수익률 계산기,2026-07-29,mobile,private,,,,,수동 입력 필요
dcaCalculator,/tools/dca-calculator,적립식 투자 계산기,적립식투자 계산기,DCA 계산기,2026-07-29,mobile,private,,,,,수동 입력 필요
dsrLtv,/tools/dsr-ltv-calculator,DSR 계산기,LTV 계산기,아파트 대출가능 계산기,2026-07-29,mobile,private,,,,,수동 입력 필요
homeBuying,/tools/home-buying-budget-calculator,아파트 구매 계산기,아파트구매 계산기,내집마련 계산기,2026-07-29,mobile,private,,,,,수동 입력 필요
mortgageLoan,/tools/mortgage-loan-calculator,주담대 원리금 계산기,주택담보대출 계산기,아파트 담보대출 계산기,2026-07-29,mobile,private,,,,,수동 입력 필요
