scope,path,locale,viewport,run,navigation,status,pass,react418,hydrationErrorCount,pageErrorCount,scriptCount,dataNscriptCount,scriptInHeadCount,loaderReady,slotCount,slotPushedCount,slotFailedCount,duplicatePushedCount,h1Count,inputCount,ctaCount,hasCalculatorSignal,horizontalOverflow,firstEntryStatus,bootstrapRequestCount,adRequestCount,failedAdRequestCount
mortgage_regression,/tools/mortgage-loan-calculator,ko,320,2,client_navigation,200,true,0,0,0,,,,,,,,,1,6,5,true,false,,,,
mortgage_regression,/tools/mortgage-loan-calculator,ko,320,3,client_navigation,200,true,0,0,0,,,,,,,,,1,6,5,true,false,,,,
mortgage_regression,/en/tools/mortgage-loan-calculator,en,320,1,client_navigation,200,true,0,0,0,,,,,,,,,1,6,5,true,false,,,,
mortgage_regression,/en/tools/mortgage-loan-calculator,en,320,2,client_navigation,200,true,0,0,0,,,,,,,,,1,6,5,true,false,,,,
mortgage_regression,/en/tools/mortgage-loan-calculator,en,320,3,client_navigation,200,true,0,0,0,,,,,,,,,1,6,5,true,false,,,,
global_hard_load,/,ko,320,1,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,0,16,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/,ko,320,2,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,0,16,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,30,0
global_hard_load,/,ko,320,3,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,0,16,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,26,0
global_hard_load,/,ko,320,4,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,0,16,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/,ko,320,5,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,0,16,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/,ko,390,1,hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,1,0,16,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,50,9
global_hard_load,/,ko,390,2,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,0,16,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,30,0
global_hard_load,/,ko,390,3,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,0,16,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/,ko,1280,1,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,0,16,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,32,1
global_hard_load,/,ko,1280,2,hard_load,200,true,0,0,0,1,0,1,true,4,4,0,0,1,0,16,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,79,21
global_hard_load,/,ko,1280,3,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,0,16,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,29,1
global_hard_load,/tools/compound-interest,ko,320,1,hard_load,200,true,0,0,0,1,0,1,true,4,4,0,0,1,10,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,73,20
global_hard_load,/tools/compound-interest,ko,320,2,hard_load,200,true,0,0,0,1,0,1,true,4,4,0,0,1,10,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,68,18
global_hard_load,/tools/compound-interest,ko,320,3,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,10,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/tools/compound-interest,ko,320,4,hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,1,10,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,50,9
global_hard_load,/tools/compound-interest,ko,320,5,hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,1,10,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,50,9
global_hard_load,/tools/compound-interest,ko,390,1,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,10,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/tools/compound-interest,ko,390,2,hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,1,10,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,50,9
global_hard_load,/tools/compound-interest,ko,390,3,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,10,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,29,0
global_hard_load,/tools/compound-interest,ko,1280,1,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,10,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/tools/compound-interest,ko,1280,2,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,10,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/tools/compound-interest,ko,1280,3,hard_load,200,true,0,0,0,1,0,1,true,1,1,0,0,1,10,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,26,0
global_hard_load,/tools/cagr-calculator,ko,320,1,hard_load,200,true,0,0,0,1,0,1,true,4,4,0,0,1,11,9,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,70,18
