,4.23,4.24,4.25,4.26,4.27,4.28,4.29,4.3,5.01,5.02,5.03,5.04,5.05,5.06,5.07,5.08,5.09,5.1,5.11,5.12,5.13,5.14,5.15,5.16,5.17,5.18,5.19,5.2,5.21,5.22,5.23,5.24,5.25,5.26,5.27,5.28,5.29,5.3,5.31,6.01,6.02,6.03,6.04,6.05,6.06,6.07,6.08,6.09,6.1,6.11,6.12,6.13,6.14,6.15,6.16,6.17,6.18,6.19,6.2,6.21,6.22,6.23,6.24,6.25,6.26,6.27,6.28,6.29,6.3,7.01,7.02,7.03,7.04,7.05,7.06,7.07,7.08,7.09,7.1,7.11,7.12,7.13,7.14,7.15,7.16,7.17,7.18,7.19
노출,5,6,10,6,5,6,7,10,4,7,21,52,36,71,47,25,36,48,49,32,54,58,71,32,29,38,46,54,103,101,167,291,392,952,947,923,845,498,652,1576,1289,768,1830,2038,1661,1396,2586,2139,1564,1206,942,546,543,1154,1143,1242,1136,1015,435,503,1173,1049,1123,920,970,569,608,1267,932,1743,2577,2191,1840,1915,2804,2517,2403,2587,2282,1568,1606,2498,2313,2187,2202,1636,1928,2261
클릭,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,3,10,0,3,4,0,0,0,0,0,2,5,5,2,5,5,5,7,20,7,11,2,8,20,12,8,20,28,21,32,26,23,19,8,4,6,8,6,7,7,10,8,4,10,5,5,8,8,6,4,6,11,6,10,10,10,2,7,16,11,9,8,9,3,6,12,10,8,16,8,6,6
