platform,property,dataset,date,page,query,country,device,sourceMedium,channel,clicks,impressions,ctr,position,sessions,engagedSessions,users,eventName,eventCount,dataFreshness,fetchedAt,sourceTimezone
bing,https://example.com/,daily,2026-07-28,,,,,,,0,15,0,14.2,,,,,,COMPLETE_RANGE,2026-08-06T08:33:02.459Z,UTC
bing,https://example.com/,daily,2026-07-29,,,,,,,1,22,0.045454545454545456,12.8,,,,,,COMPLETE_RANGE,2026-08-06T08:33:02.459Z,UTC
